ESTIMATE OPTION 1 - WITH EXCEL IMPORT/EXPORT,,,,,
7. PHASE 2 OPTION: Can add Excel in January if really needed (after core is stable),,,,,
,,,,,
ALTERNATIVE IF BUDGET IS TIGHT,,,,,
Option 2A - Bare Minimum (42 hours @ $5040):,,,,,
#NAME?,,,,,
- All 7 components updated,,,,,
#NAME?,,,,,
#NAME?,,,,,
#NAME?,,,,,
#NAME?,,,,,
#NAME?,,,,,
